date,state,manufacturer,vehicle_type,vehicle_category,sales_amount,price_range,battery_capacity,charging_time,market_share
2022-01-01,California,Tesla,Electric,Sedan,12330,75000-85000,75,45.0,0.28
2022-01-01,Tesla,Electric,SUV,8900,0,100,60,0.2,
2022-01-01,California,BYD,Electric,Sedan,6609,45000-55000,60,35.0,0.15
2022-01-01,California,Nissan,Electric,Hatchback,4439,35000-45000,40,25.0,0.1
2022-01-01,California,Ford,Electric,Truck,3156,55000-65000,98,40.0,0.07
2022-01-01,California,Volkswagen,Electric,SUV,2762,45000-55000,77,35.0,0.06
2022-01-01,California,Hyundai,Electric,SUV,2367,40000-50000,64,30.0,0.05
2022-01-01,California,Kia,Electric,SUV,2071,38000-48000,64,30.0,0.05
2022-01-01,California,Audi,Electric,SUV,1775,65000-75000,95,40.0,0.04
2022-01-01,California,Mercedes,Electric,Sedan,1479,75000-85000,90,35.0,0.03
2022-01-01,New York,Tesla,Electric,Sedan,8779,75000-85000,75,45.0,0.25
2022-01-01,New York,Ford,Electric,Truck,2071,55000-65000,98,40.0,0.06
2022-01-01,New York,Nissan,Electric,Hatchback,1775,35000-45000,40,25.0,0.05
2022-01-01,New York,Hyundai,Electric,SUV,1578,40000-50000,64,30.0,0.04
2022-01-01,New York,BYD,Electric,Sedan,1381,45000-55000,60,35.0,0.04
2022-01-01,New York,Volkswagen,Electric,SUV,1183,45000-55000,77,35.0,0.03
2022-01-01,New York,Kia,Electric,SUV,1085,38000-48000,64,30.0,0.03
2022-01-01,New York,Audi,Electric,SUV,887,65000-75000,95,40.0,0.03
2022-01-01,New York,Mercedes,Electric,Sedan,789,75000-85000,90,35.0,0.02
2022-01-01,New York,Rivian,Electric,Truck,690,70000-80000,135,50.0,0.02
2022-01-01,Texas,Tesla,Electric,SUV,6609,85000-95000,100,60.0,0.22
2022-01-01,Texas,Ford,Electric,Truck,3353,55000-65000,98,40.0,0.11
2022-01-01,Texas,BYD,Electric,Sedan,2268,45000-55000,60,35.0,0.08
2022-01-01,Texas,Nissan,Electric,Hatchback,1775,35000-45000,40,25.0,0.06
2022-01-01,Texas,Hyundai,Electric,SUV,1578,40000-50000,64,30.0,0.05
2022-01-01,Texas,Volkswagen,Electric,SUV,1381,45000-55000,77,35.0,0.05
2022-01-01,Texas,Kia,Electric,SUV,1183,38000-48000,64,30.0,0.04
2022-01-01,Texas,Rivian,Electric,Truck,1085,70000-80000,135,50.0,0.04
2022-01-01,Texas,Chevrolet,Electric,SUV,887,40000-50000,65,30.0,0.03
2022-01-01,Texas,Audi,Electric,SUV,789,65000-75000,95,40.0,0.03
2022-01-01,Florida,Tesla,Electric,Sedan,5524,75000-85000,75,45.0,0.24
2022-01-01,Florida,BYD,Electric,Sedan,2762,45000-55000,60,35.0,0.12
2022-01-01,Florida,Nissan,Electric,Hatchback,1874,35000-45000,40,25.0,0.08
2022-01-01,Florida,Ford,Electric,Truck,1381,55000-65000,98,40.0,0.06
2022-01-01,Florida,Hyundai,Electric,SUV,1183,40000-50000,64,30.0,0.05
2022-01-01,Florida,Volkswagen,Electric,SUV,986,45000-55000,77,35.0,0.04
2022-01-01,Florida,Kia,Electric,SUV,887,38000-48000,64,30.0,0.04
2022-01-01,Florida,Chevrolet,Electric,SUV,690,40000-50000,65,30.0,0.03
2022-01-01,Florida,Audi,Electric,SUV,591,65000-75000,95,40.0,0.03
2022-01-01,Florida,Mercedes,Electric,Sedan,493,75000-85000,90,35.0,0.02
2022-01-01,Washington,Tesla,Electric,SUV,3353,85000-95000,100,60.0,0.26
2022-01-01,Washington,BYD,Electric,Sedan,1676,45000-55000,60,35.0,0.13
2022-01-01,Washington,Nissan,Electric,Hatchback,1085,35000-45000,40,25.0,0.08
2022-01-01,Washington,Hyundai,Electric,SUV,887,40000-50000,64,30.0,0.07
2022-01-01,Washington,Volkswagen,Electric,SUV,789,45000-55000,77,35.0,0.06
2022-01-01,Washington,Ford,Electric,Truck,690,55000-65000,98,40.0,0.05
2022-01-01,Washington,Kia,Electric,SUV,591,38000-48000,64,30.0,0.05
2022-01-01,Washington,Audi,Electric,SUV,493,65000-75000,95,40.0,0.04
2022-01-01,Washington,Chevrolet,Electric,SUV,394,40000-50000,65,30.0,0.03
2022-01-01,Washington,Rivian,Electric,Truck,295,70000-80000,135,50.0,0.02
2022-01-01,Washington,Mercedes,Electric,Sedan,197,75000-85000,90,35.0,0.02
2022-01-01,Arizona,Tesla,Electric,Sedan,2762,75000-85000,75,45.0,0.25
2022-01-01,Arizona,BYD,Electric,Sedan,1381,45000-55000,60,35.0,0.12
2022-01-01,Arizona,Nissan,Electric,Hatchback,887,35000-45000,40,25.0,0.08
2022-01-01,Arizona,Hyundai,Electric,SUV,690,40000-50000,64,30.0,0.06
2022-01-01,Arizona,Ford,Electric,Truck,591,55000-65000,98,40.0,0.05
2022-01-01,Arizona,Volkswagen,Electric,SUV,493,45000-55000,77,35.0,0.04
2022-01-01,Arizona,Kia,Electric,SUV,394,38000-48000,64,30.0,0.04
2022-01-01,Arizona,Chevrolet,Electric,SUV,295,40000-50000,65,30.0,0.03
2022-01-01,Arizona,Audi,Electric,SUV,197,65000-75000,95,40.0,0.02
2022-01-01,Arizona,Rivian,Electric,Truck,197,70000-80000,135,50.0,0.02
2022-01-01,Arizona,Mercedes,Electric,Sedan,98,75000-85000,90,35.0,0.01
2022-02-01,California,Tesla,Electric,Sedan,13123,75000-85000,75,45.0,0.28
2022-02-01,Tesla,Electric,SUV,8900,0,100,60,0.2,
2022-02-01,California,BYD,Electric,Sedan,7034,45000-55000,60,35.0,0.15
2022-02-01,California,Nissan,Electric,Hatchback,4724,35000-45000,40,25.0,0.1
